Average_Usage,Country_Code,Population,Safety_Score,Stress_Level,Water_Value,Country
33.231,MMR,54500091.0,2,2.845607125,1.844365927,Myanmar
0.2819,NAM,3030131.0,2,0.706339263,30.49434834,Namibia
9.4971,NPL,29651054.0,2,4.518125595,2.640405029,Nepal
9.875,NZL,5287500.0,5,3.019877676,38.68756232,New Zealand
1.27302,NIC,6916140.0,4,0.773778264,7.558145789,Nicaragua
2.5833078,NER,27032412.0,1,7.586807049,2.759023384,Niger
12.472,NGA,232679478.0,1,4.357791754,30.12266596,Nigeria
1.59918,MKD,1824359.0,5,24.9871875,17.55577193,North Macedonia
2.6911,NOR,5572279.0,4,0.68475827,129.5812745,Norway
1.634,OMN,5281538.0,5,116.7142857,38.10386977,Oman
189.59,PAK,251269164.0,1,76.81928687,1.539766307,Pakistan
1.2114,PAN,4515577.0,4,0.869608913,41.12093775,Panama
2.413,PRY,6929153.0,3,0.622276092,13.89704445,Paraguay
38.55,PER,34217848.0,3,2.05075008,4.423579346,Peru
85.86714704,PHL,115843670.0,2,17.9263355,3.895398881,Philippines
8.667,POL,36559233.0,3,14.32561983,51.60076436,Poland
6.12953,PRT,10694681.0,3,7.919289406,28.48890729,Portugal
0.25,QAT,2857822.0,5,431.0344828,192.4198394,Qatar
0.846,MDA,2402306.0,4,6.894865526,8.446510848,Republic of Moldova
6.416,ROU,19051804.0,3,3.026272346,28.46818025,Romania
64.82,RUS,143533851.0,4,1.432345327,18.91209336,Russian Federation
0.61,RWA,14256567.0,2,4.586466165,12.07816507,Rwanda
0.0409,STP,235536.0,2,1.876146789,7.918243721,Sao Tome and Principe
23.38,SAU,35300280.0,5,974.1666667,25.07587204,Saudi Arabia
3.0616,SEN,18501984.0,1,7.856299718,5.718747899,Senegal
5.3245,SRB,6586476.0,4,3.282675709,6.534429273,Serbia
0.2122,SLE,8642022.0,1,0.132625,8.410879713,Sierra Leone
0.555,SVK,5422069.0,4,1.107784431,149.8730022,Slovakia
1.003,SVN,2127400.0,5,3.147160339,41.38624643,Slovenia
20.31,ZAF,64007187.0,2,39.55209348,13.77323232,South Africa
0.658,SSD,11943408.0,1,1.329292929,8.572678247,South Sudan
29.02,ESP,48848840.0,4,26.02690583,36.23085744,Spain
12.946,LKA,21916000.0,3,24.51893939,6.17881667,Sri Lanka
26.935,SDN,50448963.0,2,71.25661376,2.876253471,Sudan
0.6159,SUR,634431.0,3,0.622121212,6.924860061,Suriname
2.483,SWE,10569709.0,4,1.427011494,187.9254478,Sweden
1.704,CHE,9005582.0,5,3.185046729,404.8176286,Switzerland
13.9644,SYR,24672760.0,3,83.11153434,1.083273447,Syrian Arab Republic
10.602,TJK,10590927.0,3,48.38886353,1.01921436,Tajikistan
57.307,THA,71668011.0,2,13.06559358,7.273106927,Thailand
1.172,TLS,1400638.0,2,14.26658551,1.5304609,Timor-Leste
0.223,TGO,9515236.0,1,1.517006803,21.37560878,Togo
0.3362,TTO,1368333.0,5,8.755208333,53.36208762,Trinidad and Tobago
3.864,TUN,12277109.0,4,83.72697725,10.01886119,Tunisia
26.245,TKM,7494498.0,3,105.9761761,1.171439643,Turkmenistan
0.637,UGA,50015092.0,2,1.059900166,38.73536946,Uganda
9.459,UKR,37860221.0,5,5.396508444,7.617021946,Ukraine
2.381,ARE,10986400.0,5,1587.333333,74.45144586,United Arab Emirates
8.419,GBR,69226000.0,3,5.727210884,307.6166504,United Kingdom of Great Britain and Northern Ireland
5.184,TZA,68560157.0,1,5.384855095,8.830454097,United Republic of Tanzania
444.3961118,USA,340110988.0,5,14.48016004,43.03415476,United States of America
3.66,URY,3386588.0,3,2.12543554,12.74521343,Uruguay
58.904,UZB,36361859.0,4,120.5320237,1.60450991,Uzbekistan
81.862,VNM,100987686.0,3,9.259150342,2.626361046,Viet Nam
1.572,ZMB,21314956.0,1,1.5,13.75241014,Zambia
3.771381651,ZWE,16634373.0,1,18.85690826,4.469992671,Zimbabwe
